Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
43|async-task.task-tbb|1560.575206500|0.000729700|||||||||||||0.000|0.000|0.000|0.000|5206|13480|4|RenderActive.Task.async-task.task-tbb|RenderActive|Task|async-task|task-tbb|||||||||||||||||||||
44|Task|1560.575188400|0.000753200|||||||||||||0.000|0.000|0.000|0.000|5206|13480|2|RenderActive.Task|RenderActive|Task|||||||||||||||||||||||
45|UnpivotTables|1560.594731400|0.000023100||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.UnpivotTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|UnpivotTables|||||||||||||
46|TablesOuterJoin|1560.594784200|0.000004000||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|13|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables.TablesOuterJoin|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|TablesOuterJoin||||||||||||
47|JoinTables|1560.594761100|0.000035600||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.JoinTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|JoinTables|||||||||||||
48|ComputeSummary|1560.594897500|0.001052900||||||||tabui:record-perf||||RecordPerformanceJob|0.001|0.001|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder.ComputeSummary|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder|ComputeSummary|||||||||||||
49|SummaryStatisticsBuilder|1560.594555300|0.001490000||||||||tabui:record-perf||||RecordPerformanceJob|0.001|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged.SummaryStatisticsBuilder|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|SummaryStatisticsBuilder||||||||||||||
50|Workspace_DoViewStatisticsChanged|1560.593820900|0.002241300||||||||tabui:record-perf||||RecordPerformanceJob|0.002|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|||||||||||||||
51|RenderActive|1560.574579300|0.022654800|||||||||||||0.022|0.022|0.000|0.000|||1|RenderActive|RenderActive||||||||||||||||||||||||
52|Workspace_UpdateThumbnailUI|1560.694741800|0.004658500||||||||||||View thumbnail job|0.004|0.004|0.000|0.000|5210|14648|5|RenderActive.JobManager.async-task.task-job.Workspace_UpdateThumbnailUI|RenderActive|JobManager|async-task|task-job|Workspace_UpdateThumbnailUI||||||||||||||||||||
53|async-task.task-job|1560.688819200|0.011135200||||||||||||View thumbnail job|0.011|0.006|0.000|0.000|5210|14648|4|RenderActive.JobManager.async-task.task-job|RenderActive|JobManager|async-task|task-job|||||||||||||||||||||
